text,label
"Congratulations! You've won a free iPhone!",1
"Hey, let's grab lunch tomorrow!",0
"Click here to claim your lottery prize!",1
"Meeting at 3 PM today.",0
"Limited time offer, buy now!",1
"Hello, how are you? We should catch up soon.",0
"Your bank account has been compromised, click here to secure it!",1
"Can we reschedule the meeting to 4 PM?",0
"Congratulations! You've been selected for a free vacation!",1
"Don't forget to submit your report by 5 PM.",0
"Get rich quick! Invest now!",1
"Let's discuss the project updates tomorrow.",0
"Special promotion! Get 50% off on all items!",1
"Reminder: Your dentist appointment is at 3 PM.",0
"Free money for you! Apply for our loan today.",1
"Hi, just checking in to see how you're doing.",0
"Exclusive offer: Buy one get one free!",1
"Don't miss out on your free gift, claim now!",1
"Just wanted to confirm our plans for tomorrow.",0
"Get paid for answering surveys online!",1
"Are you free to meet this afternoon?",0
